,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,1000,THRESHOLD_ATTACK,0.1889833333333334,0.9870276681306869,0.5931447083333334,6.872608760404383,6.8501284996390694,6.827131437034621,6.803593260392289,6.77948790120857
1,Entire dataset,,60000,1000,LOGISTIC_REGRESSION,0.5548166666666667,1.0,0.8496032666666666,6.515746976971128,6.491510171073815,6.467024445730183,6.4666718229002,6.441201336308541
2,Entire dataset,,60000,1000,THRESHOLD_ENTROPY_ATTACK,0.19051666666666667,0.9870437550899533,0.5905300666666666,6.670722323047741,6.6499991049143325,6.649394226704765,6.6288376008544505,6.621215077392737
3,class,0,5923,100,THRESHOLD_ATTACK,0.16649333108222186,0.9862989323843416,0.582234509539085,4.461075098403756,4.183384474731205,4.13544489060575,3.864409676995229,3.8031240254877074
4,class,0,5923,100,LOGISTIC_REGRESSION,0.8444673307445552,1.0,0.9380364680060781,7.0878229766739365,7.069799326699971,7.051444937577378,7.032747446898353,7.013693786089984
5,class,0,5923,100,THRESHOLD_ENTROPY_ATTACK,0.16702515617085933,0.986315976541674,0.5792318082053013,4.461075098403756,4.183384474731205,4.13544489060575,3.864409676995229,3.8031240254877074
6,class,1,6742,100,THRESHOLD_ATTACK,0.3375200237318304,0.9857792112593461,0.32590774250964105,2.001238063839019,1.548959186692515,1.5359635892014092,1.4095918327212562,1.2873586422547227
7,class,1,6742,100,LOGISTIC_REGRESSION,0.9020676357164046,1.0,0.9817146247404329,4.553582086438181,4.546085885489987,4.543509482362254,4.537162543204963,4.536357758646762
8,class,1,6742,100,THRESHOLD_ENTROPY_ATTACK,0.3289172352417681,0.9857792112593461,0.31826460990803923,2.001238063839019,1.548959186692515,1.5359635892014092,1.4095918327212562,1.2873586422547227
9,class,2,5958,100,THRESHOLD_ATTACK,0.3688788183954348,0.991033400582829,0.7096324269889225,5.776490273769949,5.7206819715542245,5.707591234451985,5.666026429689933,5.63360933862425
10,class,2,5958,100,LOGISTIC_REGRESSION,0.6861329305135953,1.0,0.8921383014434374,6.181585519149054,6.147423996305036,6.112735354542003,6.1120560123338965,6.075393362789207
11,class,2,5958,100,THRESHOLD_ENTROPY_ATTACK,0.36904665995300434,0.9910654456109002,0.7081403155421282,5.666026429689933,5.63360933862425,5.608222482092695,5.55373738647753,5.546886600746018
12,class,3,6131,100,THRESHOLD_ATTACK,0.030264230957429472,0.9844389844389845,0.4898181373348557,0.09876164020539047,0.0906261541362996,0.08255632956021,0.07455111490828055,0.06660948367572243
13,class,3,6131,100,LOGISTIC_REGRESSION,0.8892741803947153,1.0,0.9686103408905562,7.316546019153187,7.301726918403991,7.286684943110737,7.27141328803871,7.255904831484145
14,class,3,6131,100,THRESHOLD_ENTROPY_ATTACK,0.03662045343337139,0.9844415329184408,0.48525199804273367,0.10696386522316503,0.09876164020539047,0.0906261541362996,0.08255632956021,0.07455111490828055
15,class,4,5842,100,THRESHOLD_ATTACK,0.3719171516603903,0.9900413378429163,0.6906530297843204,4.845239411630796,4.665591546320505,4.532056057680648,4.447305929009888,4.169615289356992
16,class,4,5842,100,LOGISTIC_REGRESSION,0.6370694967476892,1.0,0.8948151318041766,5.209045329190465,5.169525847694448,5.14668176614831,5.119043959671922,5.111772783135607
17,class,4,5842,100,THRESHOLD_ENTROPY_ATTACK,0.3736288942143101,0.9902816342721142,0.6941415611092091,4.845239411630796,4.665591546320505,4.532056057680648,4.447305929009888,4.169615289356992
18,class,5,5421,100,THRESHOLD_ATTACK,0.1418317653569452,0.9856562922868741,0.5856271905552481,4.923002029522026,4.770450610817596,4.749440412740321,4.613799516227274,4.590802701407878
19,class,5,5421,100,LOGISTIC_REGRESSION,0.8051245157719977,1.0,0.9223851687880464,4.613799516227274,4.476035287854873,4.457269536746814,4.372517022867217,4.353173268765267
20,class,5,5421,100,THRESHOLD_ENTROPY_ATTACK,0.14589005718502124,0.9857411891310196,0.5779450285925105,4.923002029522026,4.770450610817596,4.749440412740321,4.613799516227274,4.590802701407878
21,class,6,5918,100,THRESHOLD_ATTACK,0.31692463670158844,0.9892156862745098,0.6617108820547482,5.329870415678354,5.248728068573277,5.1604740552644115,5.14323161745032,5.063751992229243
22,class,6,5918,100,LOGISTIC_REGRESSION,0.771916187901318,1.0,0.9407316661034133,6.495461590447754,6.462666498081987,6.428760234645255,6.393664918650526,6.357294189464807
23,class,6,5918,100,THRESHOLD_ENTROPY_ATTACK,0.3176005407232173,0.9892536146932396,0.6543764785400474,5.1604740552644115,5.063751992229243,5.01071546311122,4.956779612908209,4.862589441183005
24,class,7,6265,100,THRESHOLD_ATTACK,0.1144612928970471,0.9851586489252815,0.45909177972865123,2.0730708765499544,1.9336412214184031,1.8653178587219879,1.8316290857539872,1.8167898534332216
25,class,7,6265,100,LOGISTIC_REGRESSION,0.6406464485235435,1.0,0.8830215482841182,2.932851703000397,2.9282899218704053,2.928000450019901,2.9205176758840667,2.914279096540594
26,class,7,6265,100,THRESHOLD_ENTROPY_ATTACK,0.19687948922585796,0.985171297085393,0.42864804469273743,1.9336412214184031,1.9230012608773381,1.8653178587219879,1.8167898534332216,1.8013865399471276
27,class,8,5851,100,THRESHOLD_ATTACK,0.48967868740386256,0.9924797531816429,0.7680003418219108,6.451281158515465,6.4173748947782565,6.382279578462435,6.345908848932812,6.308166590139938
28,class,8,5851,100,LOGISTIC_REGRESSION,0.7279832507263715,1.0,0.9152213296872328,5.448838664149165,5.353854016054554,5.248955709833001,5.237343077874981,5.14908905981796
29,class,8,5851,100,THRESHOLD_ENTROPY_ATTACK,0.4934387284224919,0.9926103455162772,0.7710323021705692,6.451281158515465,6.4173748947782565,6.382279578462435,6.345908848932812,6.308166590139938
30,class,9,5949,100,THRESHOLD_ATTACK,0.20904689863842663,0.9879161528976571,0.6090603462766851,4.187764318788977,3.8687891053537986,3.851583471036736,3.8241310328727565,3.807503877783038
31,class,9,5949,100,LOGISTIC_REGRESSION,0.6796301899478904,1.0,0.9064212472684485,5.46544832295683,5.370463677893408,5.265565375300367,5.25395220844288,5.165698197294727
32,class,9,5949,100,THRESHOLD_ENTROPY_ATTACK,0.2077021348125735,0.9881936245572609,0.616169104051101,4.187764318788977,3.8687891053537986,3.851583471036736,3.807503877783038,3.673338696486416
33,correctly_classified,True,59904,887,THRESHOLD_ATTACK,0.10009884661757196,0.987027668130687,0.5422113656935652,1.5484092102068638,1.5476283458072366,1.5429611284759424,1.5413922927751287,1.5375425860646974
34,correctly_classified,True,59904,887,LOGISTIC_REGRESSION,0.5271204690375701,1.0,0.8350208510994518,4.731134859142552,4.731103764929209,4.696518681315602,4.692916013957222,4.690376749629147
35,correctly_classified,True,59904,887,THRESHOLD_ENTROPY_ATTACK,0.10125725776048133,0.9870437550899533,0.539262293551682,1.5665734526076978,1.560218425747265,1.5593952931184947,1.553903558382666,1.5538871552890912
36,correctly_classified,False,96,113,THRESHOLD_ATTACK,0.5798303834808259,1.0,0.8497418879056047,2.6267559840021306,2.6042759609480703,2.581279147309328,2.5577412317045605,2.533636146528665
37,correctly_classified,False,96,113,LOGISTIC_REGRESSION,0.7229904129793511,1.0,0.9123340707964602,2.386953577511406,2.3653333237196943,2.3432356085500974,2.3206388807737186,2.3165091833059797
38,correctly_classified,False,96,113,THRESHOLD_ENTROPY_ATTACK,0.5448930678466077,1.0,0.8325958702064896,2.4288411893548743,2.408116555252804,2.4035440751727135,2.386953577511406,2.375365302616709
